food,category
苹果,水果
香蕉,水果
橙子,水果
草莓,水果
葡萄,水果
西瓜,水果
樱桃,水果
柠檬,水果
石榴,水果
桃子,水果
杏,水果
蓝莓,水果
李子,水果
猕猴桃,水果
菠萝,水果
芒果,水果
荔枝,水果
龙眼,水果
柚子,水果
柿子,水果
椰子,水果
橄榄,水果
火龙果,水果
百香果,水果
杨梅,水果
桑葚,水果
番石榴,水果
榴莲,水果
山竹,水果
菠菜,蔬菜
胡萝卜,蔬菜
生菜,蔬菜
土豆,蔬菜
南瓜,蔬菜
辣椒,蔬菜
黄瓜,蔬菜
西兰花,蔬菜
大白菜,蔬菜
芹菜,蔬菜
茄子,蔬菜
番茄,蔬菜
韭菜,蔬菜
青椒,蔬菜
苦瓜,蔬菜
豆角,蔬菜
冬瓜,蔬菜
丝瓜,蔬菜
花椰菜,蔬菜
芦笋,蔬菜
洋葱,蔬菜
大蒜,蔬菜
姜,蔬菜
芋头,蔬菜
莲藕,蔬菜
竹笋,蔬菜
红薯,蔬菜
山药,蔬菜
牛蒡,蔬菜
牛肉,肉类
猪肉,肉类
羊肉,肉类
鸭肉,肉类
火鸡,肉类
兔肉,肉类
鹅肉,肉类
鹿肉,肉类
马肉,肉类
驴肉,肉类
骆驼肉,肉类
鱼肉,肉类
虾肉,肉类
蟹肉,肉类
贝类,肉类
鱿鱼,肉类
章鱼,肉类
鲍鱼,肉类
鳗鱼,肉类
鲑鱼,肉类
三文鱼,肉类
金枪鱼,肉类
鳕鱼,肉类
鲈鱼,肉类
草鱼,肉类
鲫鱼,肉类
鲤鱼,肉类
鳝鱼,肉类
鲶鱼,肉类